keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'avalancha',es,Hazard,#4287f5,#022f78,3,0.2323500306160472
'Manto nivoso inestable',es,Hazard,#4287f5,#99c6ff,1,0.2004574082826642
'Avalancha de placa',es,Hazard,#4287f5,#e0efff,1,0.1752587349604421
'Acumulación rápida de nieve',es,Causes,#a89216,#d3bb63,1,0.1462411352725
'Avalancha de nieve',es,Hazard,#4287f5,#3f7eee,2,0.1350727306416493
'Educación en seguridad invernal',es,Mitigation,#9e3215,#d65218,1,0.13286590825
'desastre avalancha',es,Hazard,#4287f5,#022f78,1,0.1272892312993174
'Zona de avalanchas',es,Hazard,#4287f5,#c0dcff,2,0.1259539302669581
'nieve y avalanchas',es,Causes,#a89216,#d8c379,2,0.1249895988837302
'Acumulación de nieve',es,Hazard,#4287f5,#e7f3ff,3,0.123905415719536
'avalancha de placa',es,Hazard,#4287f5,#022f78,1,0.1233798251436625
'Placa de nieve',es,Hazard,#4287f5,#78afff,1,0.1192194164635653
'Personas sepultadas',es,Impacts,#4287f5,#638ed5,1,0.1183303
'accidente mortal avalancha',es,Hazard,#4287f5,#022f78,1,0.1167085631416014
'Lluvia sobre nieve',es,Causes,#a89216,#eddcb1,3,0.1128834506990412
'Víctimas por avalancha',es,Impacts,#4287f5,#638ed1,2,0.1127750113181817
'Deslizamiento de nieve',es,Hazard,#4287f5,#91c0ff,2,0.1125727162089186
'cambio climático de avalanchas',es,Causes,#a89216,#d8c379,1,0.1124436260354684
'Gestión sostenible del riesgo',es,Adaptation,#157a2c,#3ab24e,3,0.1122355860481249
'Alud',es,Hazard,#4287f5,#4a8df7,3,0.1122003238166274
'Nieve inestable',es,Hazard,#4287f5,#6aa5fc,2,0.111487199654026
'Placa de viento',es,Hazard,#4287f5,#7fb3ff,2,0.1105794203842114
'avalanchas muertos',es,Hazard,#4287f5,#022f78,1,0.110314324775824
'Avalancha de polvo',es,Hazard,#4287f5,#d8eaff,1,0.1052892027955624
'Sistemas de alerta de avalanchas',es,Mitigation,#9e3215,#d63a18,1,0.1040070560875
'Daños por avalancha',es,Impacts,#4287f5,#63a2d9,1,0.1023046055499999
'Cornisa de nieve',es,Hazard,#4287f5,#87b9ff,1,0.1022750251644886
'daños por avalancha',es,Hazard,#4287f5,#022f78,1,0.0988627529770138
'Monitoreo a largo plazo',es,Adaptation,#157a2c,#4cc75d,2,0.0956273386363636
'Cambios bruscos de temperatura',es,Causes,#a89216,#d9c577,2,0.0954279645
'Desprendimiento de nieve',es,Hazard,#4287f5,#5a99fa,2,0.0941343027031126
'Pala y sonda de rescate',es,Mitigation,#9e3215,#d64418,1,0.093585
'Vibraciones humanas o maquinaria',es,Causes,#a89216,#f9eccf,1,0.092225
'Destrucción de infraestructuras',es,Impacts,#4287f5,#6390d3,2,0.09182096
'Viento fuerte sobre nieve suelta',es,Causes,#a89216,#ccb250,1,0.091440889425
'Corredor de avalanchas',es,Hazard,#4287f5,#c9e1ff,1,0.0898048249473327
'Ruptura del manto nival',es,Hazard,#4287f5,#d2e6ff,1,0.0886301361718749
'Diseño urbano resistente a avalanchas',es,Adaptation,#157a2c,#22963a,1,0.088434
'Infraestructura resistente al clima',es,Adaptation,#157a2c,#52ce62,1,0.0874920265874999
'Interrupción de carreteras',es,Impacts,#4287f5,#639fd8,2,0.0857729324999999
'Avalancha seca',es,Hazard,#4287f5,#adcfff,1,0.0841999026528092
'Sistemas de control de avalanchas',es,Mitigation,#9e3215,#d63e18,1,0.0834032828350864
'Detonación preventiva',es,Mitigation,#9e3215,#d65a18,1,0.082634689675
'Equipamiento ARVA',es,Mitigation,#9e3215,#d64b18,1,0.0815757649999999
'Daños económicos locales',es,Impacts,#4287f5,#6399d6,1,0.0812802399999999
'Afectación a poblaciones',es,Impacts,#4287f5,#6393d4,1,0.0798750136249999
'Perros de búsqueda en avalanchas',es,Mitigation,#9e3215,#d64718,1,0.0791302949999999
'Nevada intensa',es,Hazard,#4287f5,#eff7ff,3,0.0781065163387471
'Planes de evacuación locales',es,Adaptation,#157a2c,#46c058,1,0.0776563932499999
'Estrategias de resiliencia comunitaria',es,Adaptation,#157a2c,#34ab49,1,0.0732684807391234
'Inestabilidad del manto nival',es,Causes,#a89216,#c7b34a,1,0.0732557470937499
'Refuerzo de rutas críticas',es,Adaptation,#157a2c,#58d567,1,0.0717400557534608
'Capacitación comunitaria en riesgo',es,Adaptation,#157a2c,#5edc6c,1,0.0707294374999999
'Pendiente pronunciada',es,Causes,#a89216,#e0cd8b,1,0.0698880296717051
'Nieve reciente poco cohesionada',es,Causes,#a89216,#f3e4c4,1,0.0694233149999999
'Estratificación débil de nieve',es,Causes,#a89216,#fff4e0,1,0.0676765749999999
'Protección de bosques protectores',es,Adaptation,#157a2c,#40b953,1,0.0663429385875
'Planificación territorial segura',es,Adaptation,#157a2c,#1b8f35,1,0.0652535822866249
'Calentamiento repentino',es,Causes,#a89216,#e6d59e,1,0.06343315307440617
'Bloqueo de rutas de montaña',es,Impacts,#4287f5,#63aedf,1,0.0628072795583124
