,phrase,label,sentiment,subjectivity,language,count
AFP,AFP,ORG,-0.10462495684623718,0.6292127370834351,es,2.0
Black Friday,Black Friday,ORG,0.48166706765952866,1.0444780399924831,es,1.9
Movistar,Movistar,ORG,0.48166706765952866,1.0444780399924831,es,1.9
Microsoft,Microsoft,ORG,1.78596000559628,1.689260721206665,es,1.0
Unión Europea,Unión Europea,ORG,-0.8404492624104023,0.9540500640869141,es,1.0
Fed,Fed,ORG,-0.7149276491254568,0.892872154712677,es,1.0
IA,IA,ORG,-0.7149276491254568,0.892872154712677,es,1.0
Guardia Civil,Guardia Civil,ORG,-0.7923527993261814,0.9932610392570496,es,1.0
ge,ge,ORG,-0.05889327824115753,0.9103952646255493,es,1.0
ETF,ETF,ORG,0.9800037369132042,5.880909562110901,es,1.0
Protección Civil,Protección Civil,ORG,-0.08326946198940277,0.92628014087677,es,1.0
Valga,Valga,ORG,-0.08326946198940277,0.92628014087677,es,1.0
Shein,Shein,ORG,-1.6808985248208046,1.9081001281738281,es,1.0
Temu,Temu,ORG,-0.8404492624104023,0.9540500640869141,es,1.0
UE,UE,ORG,-3.361797049641609,3.8162002563476562,es,1.0
Filmin,Filmin,ORG,0.4383181482553482,0.9347555041313171,es,1.0
Movistar Plus+,Movistar Plus+,ORG,0.4383181482553482,0.9347555041313171,es,1.0
Disney+,Disney+,ORG,0.4383181482553482,0.9347555041313171,es,1.0
El Corte Inglés,El Corte Inglés,ORG,0.7795083271339536,0.9212859272956848,es,1.0
Apple,Apple,ORG,1.8539467602968216,1.7020381093025208,es,1.0
Vox,Vox,ORG,-0.22406009584665298,0.9838253855705261,es,1.0
